uniprot_id	taxon	interactor	other_interactor
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/101381
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/134256
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/135632
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/140144
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/140622
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150007
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150008
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150009
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150010
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156532
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156533
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156535
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16113
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16393
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16412
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/166820
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16990
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17012
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17033
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17306
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17351
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/28304
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/42191
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/50385
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/61033
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/61780
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/62987
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/77238
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/81724
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/82721
P0DTC5	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC5	http://rdf.glycoinfo.org/dbid/CHEBI/50385
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/15422
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/156271
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/167899
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/167900
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/4031
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/50385
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/73279
P0DTC9	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC9	http://rdf.glycoinfo.org/dbid/CHEBI/84491
P0DTD1	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTD1	http://rdf.glycoinfo.org/dbid/CHEBI/167176
P0DTC4	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC4	http://rdf.glycoinfo.org/dbid/CHEBI/2618
P0DTC4	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC4	http://rdf.glycoinfo.org/dbid/CHEBI/76400
Q696P8	http://purl.uniprot.org/taxonomy/31631	http://rdf.glycoinfo.org/dbid/uniprot/Q696P8	http://rdf.glycoinfo.org/dbid/CHEBI/145416
Q696P8	http://purl.uniprot.org/taxonomy/31631	http://rdf.glycoinfo.org/dbid/uniprot/Q696P8	http://rdf.glycoinfo.org/dbid/CHEBI/145416
Q696P8	http://purl.uniprot.org/taxonomy/31631	http://rdf.glycoinfo.org/dbid/uniprot/Q696P8	http://rdf.glycoinfo.org/dbid/CHEBI/145416
Q696P8	http://purl.uniprot.org/taxonomy/31631	http://rdf.glycoinfo.org/dbid/uniprot/Q696P8	http://rdf.glycoinfo.org/dbid/CHEBI/145416
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/101381
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/134256
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/135632
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/140144
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/140622
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150007
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150008
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150009
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150010
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156532
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156533
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156535
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16113
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16393
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16412
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/166820
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16990
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17012
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17033
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17306
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17351
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/28304
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/42191
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/50385
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/61033
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/61780
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/62987
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/77238
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/81724
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/82721
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/101381
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/134256
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/135632
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/140144
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/140622
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150007
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150008
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150009
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/150010
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156532
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156533
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/156535
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16113
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16393
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16412
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/166820
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/16990
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17012
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17033
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17306
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/17351
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/28304
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/42191
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/50385
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/61033
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/61780
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/62987
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/77238
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/81724
P0DTC2	http://purl.uniprot.org/taxonomy/2697049	http://rdf.glycoinfo.org/dbid/uniprot/P0DTC2	http://rdf.glycoinfo.org/dbid/CHEBI/82721
