interactor,other_interactor
http://rdf.glycoinfo.org/dbid/uniprot/P46098,http://rdf.glycoinfo.org/dbid/CHEBI/87784
http://rdf.glycoinfo.org/dbid/uniprot/P02649,http://rdf.glycoinfo.org/dbid/CHEBI/64645
http://rdf.glycoinfo.org/dbid/uniprot/P04156,http://rdf.glycoinfo.org/dbid/CHEBI/64647
http://rdf.glycoinfo.org/dbid/uniprot/Q13467,http://rdf.glycoinfo.org/dbid/CHEBI/64646
http://rdf.glycoinfo.org/dbid/uniprot/Q9UKV8,http://rdf.glycoinfo.org/dbid/CHEBI/10596
http://rdf.glycoinfo.org/dbid/uniprot/Q9ULV1,http://rdf.glycoinfo.org/dbid/CHEBI/64646
http://rdf.glycoinfo.org/dbid/uniprot/P08603,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/P20809,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/P00450,http://rdf.glycoinfo.org/dbid/CHEBI/29033
http://rdf.glycoinfo.org/dbid/uniprot/P00736,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/P05067-4,http://rdf.glycoinfo.org/dbid/CHEBI/29033
http://rdf.glycoinfo.org/dbid/uniprot/P26022,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/Q07954,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/Q92673,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/Q9NS61-2,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/P98160%23PRO_0000391621,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/Q9NZI2,http://rdf.glycoinfo.org/dbid/CHEBI/29108
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/16284
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/17677
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/16497
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/15422
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/16311
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/15713
http://rdf.glycoinfo.org/dbid/uniprot/O00571,http://rdf.glycoinfo.org/dbid/CHEBI/17625
http://rdf.glycoinfo.org/dbid/uniprot/Q13153,http://rdf.glycoinfo.org/dbid/CHEBI/15996
http://rdf.glycoinfo.org/dbid/uniprot/P08571,http://rdf.glycoinfo.org/dbid/CHEBI/46889
http://rdf.glycoinfo.org/dbid/uniprot/P23284,http://rdf.glycoinfo.org/dbid/CHEBI/4031
http://rdf.glycoinfo.org/dbid/uniprot/O00322,http://rdf.glycoinfo.org/dbid/CHEBI/37684
http://rdf.glycoinfo.org/dbid/uniprot/P18428,http://rdf.glycoinfo.org/dbid/CHEBI/134411
http://rdf.glycoinfo.org/dbid/uniprot/P18428,http://rdf.glycoinfo.org/dbid/CHEBI/46889
http://rdf.glycoinfo.org/dbid/uniprot/O00408,http://rdf.glycoinfo.org/dbid/CHEBI/17489
http://rdf.glycoinfo.org/dbid/uniprot/P00387,http://rdf.glycoinfo.org/dbid/CHEBI/16238
http://rdf.glycoinfo.org/dbid/uniprot/Q12866,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P23458,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P29317,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P51617,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/P54760,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q00610,http://rdf.glycoinfo.org/dbid/CHEBI/77556
http://rdf.glycoinfo.org/dbid/uniprot/Q13233,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q14164,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/Q9UHD2,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/A7MCY6,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/O14965,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/O43353,http://rdf.glycoinfo.org/dbid/CHEBI/64310
http://rdf.glycoinfo.org/dbid/uniprot/O60285,http://rdf.glycoinfo.org/dbid/CHEBI/64310
